city,lat,lng,population,Country,continent
Kabul,34.5253,69.1783,4273156.0,Afghanistan,Asia
Kandahar,31.62,65.7158,614254.0,Afghanistan,Asia
Herat,34.3419,62.2031,556205.0,Afghanistan,Asia
Farah,32.3436,62.1194,500000.0,Afghanistan,Asia
Mazar-e Sharif,36.7,67.1167,469247.0,Afghanistan,Asia
Lashkar Gah,31.5831,64.3692,276831.0,Afghanistan,Asia
Kunduz,36.7286,68.8681,268893.0,Afghanistan,Asia
Taluqan,36.7167,69.5167,263800.0,Afghanistan,Asia
Jalalabad,34.4342,70.4478,263312.0,Afghanistan,Asia
Shibirghan,36.665,65.752,175599.0,Afghanistan,Asia
Zaranj,30.96,61.86,160902.0,Afghanistan,Asia
Khost,33.3331,69.9169,160214.0,Afghanistan,Asia
Maimanah,35.9333,64.75,149040.0,Afghanistan,Asia
Mehtar Lam,34.6683,70.2089,144162.0,Afghanistan,Asia
Ghazni,33.5492,68.4233,143379.0,Afghanistan,Asia
Tirana,41.3289,19.8178,418495.0,Albania,Europe
Vlore,40.4667,19.4833,130827.0,Albania,Europe
Kamez,41.3833,19.7667,126777.0,Albania,Europe
Fier,40.725,19.5572,120655.0,Albania,Europe
Durres,41.3111,19.4392,113249.0,Albania,Europe
Shkoder,42.0681,19.5119,112276.0,Albania,Europe
Algiers,36.7539,3.0589,3415811.0,Algeria,Africa
Oran,35.6969,-0.6331,852000.0,Algeria,Africa
Constantine,36.365,6.6147,448374.0,Algeria,Africa
Blida,36.4722,2.8333,331779.0,Algeria,Africa
Batna,35.55,6.1667,290645.0,Algeria,Africa
Setif,36.19,5.41,288461.0,Algeria,Africa
Djelfa,34.6667,3.25,265833.0,Algeria,Africa
Annaba,36.9,7.7667,257359.0,Algeria,Africa
Sidi Bel Abbes,35.2,-0.6333,212935.0,Algeria,Africa
Biskra,34.85,5.7333,204661.0,Algeria,Africa
Tebessa,35.4,8.1167,194461.0,Algeria,Africa
Tiaret,35.3667,1.3167,178915.0,Algeria,Africa
Bejaia,36.7511,5.0642,176139.0,Algeria,Africa
Tlemcen,34.8828,-1.3167,173531.0,Algeria,Africa
Bordj Bou Arreridj,36.0667,4.7667,168346.0,Algeria,Africa
Luanda,-8.8383,13.2344,9051000.0,Angola,Africa
Cacuaco,-8.8053,13.2444,1279488.0,Angola,Africa
Lubango,-14.9167,13.5,776249.0,Angola,Africa
Cabinda,-5.56,12.19,739182.0,Angola,Africa
Huambo,-12.7767,15.7347,665564.0,Angola,Africa
Malanje,-9.5333,16.35,604215.0,Angola,Africa
Benguela,-12.55,13.4167,561775.0,Angola,Africa
Talatona,-8.9167,13.1833,500000.0,Angola,Africa
Belas,-8.9983,13.265,500000.0,Angola,Africa
Lobito,-12.3597,13.5308,393079.0,Angola,Africa
Saurimo,-9.65,20.4,393000.0,Angola,Africa
Cubal,-13.1117,14.3672,357618.0,Angola,Africa
Luena,-11.7918,19.9062,357413.0,Angola,Africa
Cuito,-12.3833,16.9333,355423.0,Angola,Africa
Uige,-7.6167,15.05,322531.0,Angola,Africa
Buenos Aires,-34.5997,-58.3819,16710000.0,Argentina,South America
Cordoba,-31.4167,-64.1833,1565112.0,Argentina,South America
Rosario,-32.9575,-60.6394,1276000.0,Argentina,South America
Santiago del Estero,-27.7833,-64.2667,911506.0,Argentina,South America
Comodoro Rivadavia,-45.8647,-67.4808,730266.0,Argentina,South America
Mar del Plata,-38.0,-57.55,682605.0,Argentina,South America
San Miguel de Tucuman,-26.8167,-65.2167,605767.0,Argentina,South America
Salta,-24.7833,-65.4167,535303.0,Argentina,South America
San Juan,-31.5342,-68.5261,471389.0,Argentina,South America
Lanus,-34.7,-58.4,459263.0,Argentina,South America
Florencio Varela,-34.8167,-58.2833,426005.0,Argentina,South America
Santa Fe,-31.6333,-60.7,405683.0,Argentina,South America
Corrientes,-27.4833,-58.8167,352646.0,Argentina,South America
San Salvador de Jujuy,-24.1833,-65.3,321789.0,Argentina,South America
Bahia Blanca,-38.7167,-62.2667,301572.0,Argentina,South America
